time,key
2021-02-15T09:49:06.525,"{'G','S'}"
2021-02-15T09:49:06.529,"{'G','S'}"
2021-02-15T09:49:06.534,"{'G','S'}"
2021-02-15T09:49:06.540,"{'E','G','S'}"
2021-02-15T09:49:06.544,"{'E','G','S'}"
2021-02-15T09:49:06.548,"{'E','G'}"
2021-02-15T09:49:06.552,"{'E','G'}"
2021-02-15T09:49:06.556,"{'E','G'}"
2021-02-15T09:49:06.560,"{'E','G'}"
2021-02-15T09:49:06.564,"{'E','G'}"
2021-02-15T09:49:06.569,"{'E','G'}"
2021-02-15T09:49:06.574,"{'E','G'}"
2021-02-15T09:49:06.578,"{'E','G'}"
2021-02-15T09:49:06.583,"{'E','G'}"
2021-02-15T09:49:06.587,"{'E','G'}"
2021-02-15T09:49:06.592,"{'E','G'}"
2021-02-15T09:49:06.596,"{'E','G'}"
2021-02-15T09:49:06.600,"{'E','G'}"
2021-02-15T09:49:06.604,"{'E','G'}"
2021-02-15T09:49:06.608,"{'E','G'}"
2021-02-15T09:49:06.612,"{'E','G'}"
2021-02-15T09:49:06.617,"{'E','G'}"
2021-02-15T09:49:06.623,"{'E','G'}"
2021-02-15T09:49:06.627,"{'E','R'}"
2021-02-15T09:49:06.631,"{'E','R'}"
2021-02-15T09:49:06.636,"{'E','R'}"
2021-02-15T09:49:06.640,"{'E','R'}"
2021-02-15T09:49:06.644,"{'E','R'}"
2021-02-15T09:49:06.648,"{'E','R'}"
2021-02-15T09:49:06.651,"{'E','R'}"
2021-02-15T09:49:06.655,"{'E','R'}"
2021-02-15T09:49:06.660,"{'E','R'}"
2021-02-15T09:49:06.664,"{'E','R'}"
2021-02-15T09:49:06.669,"{'E','R'}"
2021-02-15T09:49:06.673,"{'E','R'}"
2021-02-15T09:49:06.678,"{'E','R'}"
2021-02-15T09:49:06.683,"{'A','E','R'}"
2021-02-15T09:49:06.687,"{'A','E','R'}"
2021-02-15T09:49:06.692,"{'A','E','R'}"
2021-02-15T09:49:06.696,"{'A','E','R'}"
2021-02-15T09:49:06.700,"{'A','E','R'}"
2021-02-15T09:49:06.704,"{'A','E','R'}"
2021-02-15T09:49:06.708,"{'A','E','R'}"
2021-02-15T09:49:06.711,"{'A','E','R'}"
2021-02-15T09:49:06.716,"{'A','E','R'}"
2021-02-15T09:49:06.720,"{'A','E','R'}"
2021-02-15T09:49:06.724,"{'A','E','R'}"
2021-02-15T09:49:06.728,"{'A','E','R'}"
2021-02-15T09:49:06.732,"{'A','E','R'}"
2021-02-15T09:49:06.736,"{'A','E','R'}"
2021-02-15T09:49:06.740,"{'A','E','R'}"
2021-02-15T09:49:06.744,"{'A','E','R'}"
2021-02-15T09:49:06.748,"{'A','E','R'}"
2021-02-15T09:49:06.752,"{'A','E','R'}"
2021-02-15T09:49:06.756,"{'A','E','R'}"
2021-02-15T09:49:06.760,"{'A','E','R'}"
2021-02-15T09:49:06.764,"{'A','E','R'}"
2021-02-15T09:49:06.768,"{'A','E','R'}"
2021-02-15T09:49:06.772,"{'A','E','R'}"
2021-02-15T09:49:06.777,"{'A','E','R'}"
2021-02-15T09:49:06.781,"{'A','E','R'}"
2021-02-15T09:49:06.785,"{'A','E','R'}"
2021-02-15T09:49:06.789,"{'A','E','R'}"
2021-02-15T09:49:06.793,"{'A','E','R'}"
2021-02-15T09:49:06.797,"{'A','E','R'}"
2021-02-15T09:49:06.802,"{'A','E','R'}"
2021-02-15T09:49:06.806,"{'A','E','R'}"
