key,time
1,2021-04-20T10:15:45.573263
1,2021-04-20T10:15:45.738161
1,2021-04-20T10:15:45.951029
1,2021-04-20T10:15:46.074954
1,2021-04-20T10:15:46.261839
1,2021-04-20T10:15:46.423739
1,2021-04-20T10:15:46.607625
1,2021-04-20T10:15:46.831487
1,2021-04-20T10:15:46.996387
1,2021-04-20T10:15:47.165282
Key.esc,2021-04-20T10:15:47.626999
Key.space,2021-04-20T10:31:38.846018
Key.space,2021-04-20T10:31:39.046892
Key.space,2021-04-20T10:31:39.267755
